feature,chi2,p,n_target,n_reference
yelchenko,4.49540035334801,0.03398615467594568,8,0
amnesty,4.459510860196969,0.0347074347206211,16,4
sense,4.459510860196969,0.0347074347206211,16,4
spoken,4.459510860196969,0.0347074347206211,16,4
number,4.4356602694996665,0.0351956037642458,108,59
feel,4.412336377940764,0.035679941741138865,24,8
furthermore,4.412336377940764,0.035679941741138865,24,8
kramatorsk,4.394610709069513,0.036052689600932886,18,5
status,4.389005555885305,0.036171405007105584,42,18
internal,4.388875815239102,0.036174157713592225,35,14
favour,4.38200937289815,0.0363201563206651,22,7
ones,4.38200937289815,0.0363201563206651,22,7
poland,4.373283917927293,0.036506572868224896,20,6
supplying,4.373283917927293,0.036506572868224896,20,6
facts,4.207061302828691,0.040256020413804605,50,23
anything,4.171268384960742,0.04111500903391507,38,16
concern,4.171268384960742,0.04111500903391507,38,16
ministry,4.171268384960742,0.04111500903391507,38,16
causes,4.15458892430436,0.04152185142175324,11,2
cynicism,4.15458892430436,0.04152185142175324,11,2
d'état,4.15458892430436,0.04152185142175324,11,2
entirely,4.15458892430436,0.04152185142175324,11,2
frankly,4.15458892430436,0.04152185142175324,11,2
getting,4.15458892430436,0.04152185142175324,11,2
opponents,4.15458892430436,0.04152185142175324,11,2
propagandists,4.15458892430436,0.04152185142175324,11,2
yatsenyuk,4.15458892430436,0.04152185142175324,11,2
zelenskyy's,4.15458892430436,0.04152185142175324,11,2
work,4.15002516297096,0.04163390517249965,71,36
set,4.109222764283843,0.042649958637846486,43,19
events,4.093293649720594,0.04305366737967897,53,25
investigation,4.08959236783022,0.04314804706339104,85,45
goal,4.065068503441669,0.043778909267540356,36,15
normal,4.039866642223962,0.04443733314348974,27,10
systems,4.0364133229256005,0.044528363292027806,61,30
declared,3.9945504142967074,0.045647628938302764,41,18
analysis,3.9677685925319275,0.04637919420790382,10,1
categorically,3.9677685925319275,0.04637919420790382,10,1
drafting,3.9677685925319275,0.04637919420790382,10,1
german,3.9677685925319275,0.04637919420790382,10,1
neo-nazism,3.9677685925319275,0.04637919420790382,10,1
persecution,3.9677685925319275,0.04637919420790382,10,1
touched,3.9677685925319275,0.04637919420790382,10,1
unleashed,3.9677685925319275,0.04637919420790382,10,1
affairs,3.9646311565415138,0.0464657006314797,64,32
air-defence,3.9587961833433436,0.04662703706702276,13,3
exception,3.9587961833433436,0.04662703706702276,13,3
odessa,3.9079839549482824,0.04805721437090593,23,8
rhetoric,3.9079839549482824,0.04805721437090593,23,8
nothing,3.8822126071089906,0.048800204912117895,78,41
$,3.8639569062179593,0.04933385058919515,15,4
albania,3.8639569062179593,0.04933385058919515,15,4
elderly,3.8639569062179593,0.04933385058919515,15,4
gone,3.8639569062179593,0.04933385058919515,15,4
simonovie,3.8639569062179593,0.04933385058919515,15,4
ordinary,3.860683698293821,0.04943018188499404,21,7
journalists,3.8597799540847326,0.04945681427951598,32,13
long,3.8457899618451443,0.049871023779160306,81,43
provisional,3.8317734238256076,0.05028969662769822,19,6
heroes,3.8287741270721627,0.05037976685994283,17,5
posted,3.8287741270721627,0.05037976685994283,17,5
referred,3.8287741270721627,0.05037976685994283,17,5
surprised,3.8287741270721627,0.05037976685994283,17,5
unprecedented,3.8287741270721627,0.05037976685994283,17,5
anti-russia,3.7466574365754273,0.05291322522876485,7,0
banking,3.7466574365754273,0.05291322522876485,7,0
corpses,3.7466574365754273,0.05291322522876485,7,0
dissent,3.7466574365754273,0.05291322522876485,7,0
dmytro,3.7466574365754273,0.05291322522876485,7,0
dombas,3.7466574365754273,0.05291322522876485,7,0
exists,3.7466574365754273,0.05291322522876485,7,0
gaza,3.7466574365754273,0.05291322522876485,7,0
grandi,3.7466574365754273,0.05291322522876485,7,0
informal,3.7466574365754273,0.05291322522876485,7,0
inscribed,3.7466574365754273,0.05291322522876485,7,0
involve,3.7466574365754273,0.05291322522876485,7,0
islamic,3.7466574365754273,0.05291322522876485,7,0
islands,3.7466574365754273,0.05291322522876485,7,0
junta,3.7466574365754273,0.05291322522876485,7,0
medicines,3.7466574365754273,0.05291322522876485,7,0
mortar,3.7466574365754273,0.05291322522876485,7,0
overthrow,3.7466574365754273,0.05291322522876485,7,0
patriotic,3.7466574365754273,0.05291322522876485,7,0
petal,3.7466574365754273,0.05291322522876485,7,0
photos,3.7466574365754273,0.05291322522876485,7,0
profits,3.7466574365754273,0.05291322522876485,7,0
remotely,3.7466574365754273,0.05291322522876485,7,0
rise,3.7466574365754273,0.05291322522876485,7,0
russian-language,3.7466574365754273,0.05291322522876485,7,0
senseless,3.7466574365754273,0.05291322522876485,7,0
sought,3.7466574365754273,0.05291322522876485,7,0
stationed,3.7466574365754273,0.05291322522876485,7,0
taxpayers,3.7466574365754273,0.05291322522876485,7,0
virtually,3.7466574365754273,0.05291322522876485,7,0
wait,3.7466574365754273,0.05291322522876485,7,0
yugoslavia,3.7466574365754273,0.05291322522876485,7,0
provisions,3.657242570934607,0.05582595313461436,35,15
east,3.606963049314642,0.057538101387313856,45,21
draw,3.578494196663122,0.05853218582551023,26,10
hands,3.547753368461741,0.05962613050657606,33,14
proposed,3.547753368461741,0.05962613050657606,33,14
hospitals,3.495708286061371,0.06152808328980208,24,9
questions,3.495708286061371,0.06152808328980208,24,9
turning,3.495708286061371,0.06152808328980208,24,9
absurd,3.492037184172379,0.061664657359020825,10,2
authors,3.492037184172379,0.061664657359020825,10,2
channel,3.492037184172379,0.061664657359020825,10,2
considering,3.492037184172379,0.061664657359020825,10,2
economy,3.492037184172379,0.061664657359020825,10,2
heads,3.492037184172379,0.061664657359020825,10,2
hearing,3.492037184172379,0.061664657359020825,10,2
high-precision,3.492037184172379,0.061664657359020825,10,2
preparations,3.492037184172379,0.061664657359020825,10,2
equipment,3.485958558759247,0.06189150754397155,43,20
turn,3.4402380078931194,0.0636265262353527,31,13
discussed,3.4211517180399724,0.06436609343119493,22,8
event,3.4211517180399724,0.06436609343119493,22,8
shells,3.4211517180399724,0.06436609343119493,22,8
constructive,3.3575658311388814,0.06689688268615279,20,7
dicarlo,3.3575658311388814,0.06689688268615279,20,7
knows,3.3575658311388814,0.06689688268615279,20,7
admitted,3.344513354271272,0.0674294146168114,12,3
comply,3.344513354271272,0.0674294146168114,12,3
outside,3.344513354271272,0.0674294146168114,12,3
regularly,3.344513354271272,0.0674294146168114,12,3
violent,3.344513354271272,0.0674294146168114,12,3
television,3.3351286018514106,0.06781510527962864,29,12
threatened,3.309062633339754,0.06889878196550403,18,6
changed,3.287459031390859,0.06981098070556424,14,4
showing,3.287459031390859,0.06981098070556424,14,4
transport,3.287459031390859,0.06981098070556424,14,4
illusions,3.2841125886243474,0.06995343469470083,9,1
kiev,3.2841125886243474,0.06995343469470083,9,1
kinds,3.2841125886243474,0.06995343469470083,9,1
organize,3.2841125886243474,0.06995343469470083,9,1
prolong,3.2841125886243474,0.06995343469470083,9,1
returning,3.2841125886243474,0.06995343469470083,9,1
shukhevych,3.2841125886243474,0.06995343469470083,9,1
suddenly,3.2841125886243474,0.06995343469470083,9,1
warned,3.2841125886243474,0.06995343469470083,9,1
burned,3.282103851667138,0.07003909363141192,16,5
firing,3.282103851667138,0.07003909363141192,16,5
share,3.282103851667138,0.07003909363141192,16,5
consequences,3.2640886918166867,0.07081235755337167,34,15
video,3.258404077665142,0.0710582520873938,44,21
normandy,3.2329937196854694,0.07216864767447184,27,11
results,3.2329937196854694,0.07216864767447184,27,11
seen,3.1701963350067324,0.07499343075789322,47,23
france,3.1498037559893763,0.07593609497329534,32,14
cent,3.149163142114018,0.07596591342599401,66,35
key,3.1345968689244095,0.07664733363195653,25,10
result,3.1193234899011864,0.07736889836453675,92,52
head,3.040987872549585,0.08118649693680358,23,9
occurred,3.040987872549585,0.08118649693680358,23,9
situation,3.036188147425277,0.08142691645710554,236,151
past,3.0273939832112515,0.08186941376443724,64,34
used,3.004955278548221,0.08301026796772559,90,51
aside,3.0039833756086014,0.08306006882947814,6,0
borrell,3.0039833756086014,0.08306006882947814,6,0
briefly,3.0039833756086014,0.08306006882947814,6,0
britain,3.0039833756086014,0.08306006882947814,6,0
bryansk,3.0039833756086014,0.08306006882947814,6,0
catastrophic,3.0039833756086014,0.08306006882947814,6,0
